기능,구분,code,type,severity,대상,component,조건,message,영향,권장 조치,근거
관리,알람,A-PRC-029,dependency_unavailable,critical,,tooling,노드 필수 도구(cims-svc/cims-priv/cims-ha) 미발견·권한 미등록,Node tooling unavailable: {tool} ({detail}),모듈 기동/IP 조작/HA 제어 전면 불능,설치본/sudoers 등록 확인,X.733
관리,알람,A-PRC-030,listener_unavailable,critical,,http/<port>,관리 API(OAM/oam-svc) HTTP 접속점 불능(bind 실패·스레드 사망 — 백그라운드 스위퍼는 지속),OAM HTTP listener unavailable: {port} ({error}),콘솔/API 전면 502 — 알람 발화는 지속되나 가시화 불가,포트 점유/기동 로그 확인,X.733
관리,알람,A-PRC-031,dependency_unavailable,warning,,store/lock,공유 스토리지 잠금(flock) 미보장 — 소유권 펜싱 부재(상시 조건),Store lock (flock) not enforced on shared storage,이중 기동 시 정본 손상 위험 상시·리스 영구 read-only 수렴,스토리지 잠금 지원 확인(NFS 옵션)·대체 펜싱 적용,X.733
관리,알람,A-PRC-032,storage_failure,major,,alerts/stream,알람/이벤트 스트림 자기 기록 실패,Alert stream writes failing ({path}: {errno}),open 레코드 유실 — 콘솔/이력에 영구 미표시(관측 공백),스트림 볼륨/NAS 상태 확인,X.733
관리,알람,A-PRC-033,state_out_of_sync,warning,,alerts/restore,알람 open-state 복원 창 불일치(장기 지속 알람 재기동 시 중복 open),Alert open-state restore window mismatch ({window}d vs {drift}d),장기 알람의 재기동 후 중복 open·이력 왜곡,복원 창 정합·중복 정리,X.733
관리,알람,A-COM-019,delivery_failed,major,,reports,job report 전달 적체(재시도 소진 — pending 큐 누적),Job report delivery backlogged ({pending} pending),배포/작업 결과가 OAM 에 미도달(성공/실패 판정 불가),OAM 도달성 확인·큐 소진 감시,X.733
관리,알람,A-COM-020,connection_lost,major,,fm_sync/<node>,모듈 자기보고(FM_SYNC) 두절 — 판정 불가 종결 후 두절 상태 자체의 알람,FM self-reporting from {node} lost ({misses} sync misses),해당 노드 L2 알람 판정 불가 — 침묵을 정상으로 오인 위험(A-COM-015 와 상보),모듈 FmReporter/경로 확인 — 노드마다 개별 발화,X.733 / 파이프라인 §9
관리,알람,A-COM-021,delivery_failed,major,AGENT,jobs/<agent>,배포 job 적체(queued/running 무기한 — 회수 타임아웃 부재),"Deploy jobs to {agent} stalled ({count} queued, oldest {age}s)",배포/제어가 해당 노드에 무기한 미집행,agent 상태/큐 회수 확인 — agent 마다 개별 발화,X.733
관리,알람,A-COM-022,connection_lost,major,,ext/<system>,등록 외부 시스템 도달 불가(TCP probe 실패 지속),External system {system} unreachable ({fails} consecutive probes),해당 연동 기능 불가,대상 시스템/경로 확인 — 시스템마다 개별 발화,X.733
관리,이벤트,E-STC-011,lifecycle,-,,,event=module_restarted. watchdog/HA reconcile 에 의한 모듈 자동 재기동,Module {module} auto-restarted by {actor} ({reason}),,,X.731
관리,이벤트,E-STC-012,availability_transition,-,AGENT,,event=node_state_changed. agent 관측 두절/복귀 전이(offline↔online — A-COM-015 알람과 쌍),Node {node} state changed: {from} -> {to},,,X.731
관리,이벤트,E-AUD-014,job_result,-,,,"event=deployment_failed. 노드 배포/업그레이드 실패·자동 롤백(rc, sha 불일치, rolled_back)",Deployment on {node} failed: {detail} ({rolled_back}),,,X.740
관리,이벤트,E-AUD-015,job_result,-,AGENT,,"event=deploy_job. 배포/프로비저닝 job 결과(job_type, agent, result)",Deploy job {job} on {agent}: {result},,,X.740
