기능,행,구분,code,type,severity,source_system,instance,index,대상,component,조건/내용,message,영향,권장 조치,근거,현재 구현 여부,감지 방식 설명
,감지,알람,A-PRC-009,cert_expiring,warning,MGMT_SVR_01,OAM,1,AGENT,cert/<agent>,agent mTLS 인증서 만료 임박/회전 실패,,,,,후보,"만료 30일 내 cert_rotate_pending 플래그만 설정(oam_app.py:1087-1112 — 이미 pending 이면 skip :1096, 재시도·에스컬레이션 없음)·heartbeat 응답 cert_rotate:true 로만 전달(agent_api.py:597-598) — agent 미호출 시 OAM 에 흔적 없음. 단계 임계(warning→critical) 자연. agent 측 회전 실패 축은 AGENT cert 행"
,감지,알람,A-PRC-009,cert_expiring,warning,SIG_SVR_01,CSP,1,,cert/<proto:port>,SIP TLS 인증서 만료 임박 — 접속점 단위. 파일 안의 전 인증서 중 가장 이른 만료 기준(체인 PEM 이면 CA 만료도 포함). 30일 이하 warning / 7일 이하 critical,,,,,구현,CspListenerManager::CheckCertExpiry() — 기동 직후·SIGUSR1 reload·1시간 주기로 평가(CspServer.cpp). 만료된 인증서는 **로드는 되므로** A-PRC-012(개설 실패)로는 잡히지 않는다 — 별 축이 필요한 이유. bootstrap 이 연 접속점(ListenerManager 소유 아님)의 인증서도 대상에 포함한다. 임계 초과면 close 로 자연 회수. ⚠인증서 경로는 기동 캡처 항목이라 교체 반영에 CSP 재기동이 필요하다
공통,정의,알람,A-PRC-010,observability_lost,major,,,,,fm,알람/이벤트 자기보고·관측 파이프라인 공백(보고 두절·수집 불능·카탈로그 무력화),Observability lost: {detail} — alarm/event reporting pipeline is silent,"""알람 없음""이 ""감지 불능""을 의미하게 됨",보고 경로/수집기 상태 확인 — 침묵을 정상으로 오인 금지,X.733,,
,감지,알람,A-PRC-010,observability_lost,major,SIG_SVR_01,AGENT,1,,net/collect,ip -j 수집 실패 — interfaces[] 빈 배열 위장(절체 판정 오염),,,,,후보,"_ip_json 이 rc≠0/파싱 실패 시 None → 호출자가 빈 배열 반환(cims_agent.py:291-323, :339-340, :385-386) — heartbeat 가 정상값처럼 상행, OAM vip_observation 이 heartbeat interfaces 기반이라 계획 절체·auto-sync 판정 오염(oam 측 :5027-5029 주석). 실패 마커 필드 + rule 신설. base deps 미완비(_base_deps_ok :2351-2361 — ip 깨짐의 원인, 300s 재시도 판정 기성·보고 없음)도 reason 포함"
,감지,알람,A-PRC-010,listener_unavailable,major,MGMT_SVR_01,OAM-SVC,1,,fm_ingest,FM 수신 채널 불능(기동 실패·수신 스레드 사망) — 전 모듈 자기보고 침묵,,,,,후보,"start() 예외 시 ingest 없이 정상 기동(log_error 뿐 — oam_svc_app.py:320-325/oam_app.py:1136-1137), 소켓 OSError 시 스레드 조용히 종료·재기동 없음(fm_ingest.py:135-136 break). 자기 상태라 health 필드 + 자체 발화 경로 병행 필요. 카탈로그 보존 실패(fm_ingest.py:198-199 log_error 만 — 재기동 후 그 노드 전량 UNKNOWN_CODE 의 원인 경로)도 params 포함"
,감지,알람,A-PRC-010,observability_lost,warning,MGMT_SVR_01,OAM-SVC,1,,fm_catalog/<node>,모듈 자기보고 무력화(빈 카탈로그 등록·UNKNOWN_CODE·UNREGISTERED 거절 반복) — 해당 노드 자기보고 전량 거부,,,,,후보,빈 카탈로그도 정상 수용(_on_register — alarms or []) 후 FM_ALARM 전량 UNKNOWN_CODE 거절 — 카운터/로그 0(fm_ingest.py:214-216). 미등록/boot_id 불일치 UNREGISTERED 거절도 동일 무관측(:166-170). 노드별 거절 누적 임계 전이. 배포 버전 스큐의 전형 신호
,감지,알람,A-PRC-010,observability_lost,warning,MGMT_SVR_01,OAM-SVC,1,CMP,,관측 대상 공백(CMP endpoint 미설정) — CMP 관측 통째 비활성,,,,,후보,"판정식은 Endpoints or CmpIp(alarm_sweeper.py:228-229 — CmpIp 만 있어도 활성, 구 서술 'Endpoints 공집합' 정정). 공집합이면 rtp/PRC-004 평가 skip + 열린 cmp 계열 stale reap close(:276-288) — 설정 소실이 '알람 정리'로 위장. 기동 경고(oam_svc_app.py:171-177)도 MediaServer 는 제외"
,감지,알람,A-PRC-010,observability_lost,warning,MGMT_SVR_01,OAM-SVC,1,,alert_sweep,ServiceLogging.Dir 미설정 — 서비스 알람 스위퍼+FM ingest 전면 비활성,,,,,후보,"Dir 없으면 FM ingest 미기동 + 서비스 알람 스위퍼 disabled 가 log_info 1줄(oam_svc_app.py:320, :327-331, :336). 기동 1회 판정(sticky). CMP 행(관측 대상 공백)과 별개 축 — 이쪽은 관측 기능 자체의 비활성"
,감지,알람,A-PRC-010,observability_lost,major,MGMT_SVR_01,OAM,1,AGENT,metric,metric blackout — heartbeat 는 오는데 metric 없음(그 호스트 전 규칙 미평가),,,,,후보,if not metric: continue 로 disk/module/drift/ha_flap 전 규칙 미평가(oam_app.py:1327-1329) + 그 호스트 열린 알람 auto-close(:1336-1345) — offline 마킹조차 안 되는 별개 사각. online 인데 최신 metric 없음 N주기 전이. connection_lost(AGENT 두절)와 분리(hb 정상 축)
공통,정의,알람,A-QOS-004,overload,major,,,,,overload,과부하 방어(유입 차단/강등) 발동,Overload protection active: {rejected} requests rejected in last {window}s,신규 요청 일부 거절 중 — 용량 초과 유입,유입 원인 확인·용량/제한값 조정,vIBCF A0057,,
,감지,알람,A-QOS-004,overload,major,SIG_SVR_01,CSP,1,,overload,제어평면 과부하 — 신규 요청 차단 발동,,,,,후보(선행 필요),과부하 감지/차단 로직 자체가 미구현. 현재 프록시 지표는 로그 drop 카운터와 CMP 요청 타임아웃율(카운터 신설 필요)뿐. route max_concurrent_calls/cps_limit 는 파싱만 되고 사용처 없음(CspRouteMap.cpp:51-52)
공통,정의,알람,A-QOS-005,resource_exhausted,major,,,,,queue/<name>,프로세스 내부 큐 포화·drop 지속,Internal queue {queue} saturated: {dropped} dropped ({used}/{size}),메시지/작업 유실 진행 중,소비 지연 원인(I/O·하류 시스템) 확인,vIBCF A0030·A0089,,
,감지,알람,A-QOS-005,resource_exhausted,minor,MED_SVR_01,CMP,1,,log_queue,로그 큐 포화 — 오래된 줄 폐기 지속(msg seq↔줄번호 상관 파괴),,,,,후보,큐 상한 20만(kCmpLogMaxQueue :30) 초과 시 가장 오래된 줄 pop_front 폐기(:2322-2326) — writeMsgLine 의 seq(:2178-2180)가 줄번호 기반이라 앞줄 폐기 후 전 구간 오독(단순 유실이 아님). _logDropped 는 선언(PCmpServer.h:189)·증가(:2325)뿐 getter/STATS 전무 — 노출 + 증가율 지속 전이
,감지,알람,A-QOS-005,resource_exhausted,minor,MED_SVR_01,CMDP,1,,log_queue,서비스 로그 큐 drop 지속 — fopen 성공 경로의 유실 사각,,,,,후보,_logDropped 증가(PCmdpServer.cpp:1176-1179)·STATS 노출(:488) 기성 — NFS 지연으로 writer 가 느려지면 쓰기 실패 알람은 안 열린 채 로그만 유실. 증가 T초 지속 open / T초 무증가 close
,감지,알람,A-QOS-005,resource_exhausted,minor,SUB_SVR_01,CSC,1,,log_queue,service_log writer 큐 백로그/drop 지속,,,,,후보,"_LOG_MAX_QUEUE=200000·_dropped_logs 소비자 0(logger.py:34, :40, :49-52) — NFS 지연으로 open 은 되는데 소비가 못 따라가는 축(쓰기 실패 행과 분리). 큐 점유율/drop 증가율 임계 전이"
공통,정의,알람,A-COM-001,connection_lost,critical,,,,DB,db,서비스 DB 연결 두절,"DB connection lost (host={host}, port={port}, db={db})",DB 의존 기능 전면 저하(가입자/설정/이력),연결성·DB 서버·인증 확인,vIBCF A0003(연결 축),,
,감지,알람,A-COM-001,connection_lost,critical,SIG_SVR_01,CSP,1,DB,db,"DB connection lost(IP, Port, database, user)",,,,,구현,"전용 probe 연결 mysql_ping — 10s 주기·timeout 3s, 3연속 실패 시 down 전이 / 응답 복구 시 close (DbManager.cpp:123-190 HealthProbeLoop, 훅 CspServer.cpp:315). bUp 초기값 true 라 부팅 직후 DB 부재도 3틱 뒤 open 발화"
,감지,알람,A-COM-001,connection_lost,critical,SUB_SVR_01,CSC,1,DB,db,"DB connection lost(IP, Port, database, user)",,,,,구현,"DbHealthProbe — pymysql 전용 연결 10s 주기, 3연속 실패 전이 / 복구 close(fm_reporter.py:274-313). 한계 3건: ①CimsDatabase.Host 빈값이면 판정 보류 — DB 미구성이 무알람(설정 행 참조) ②Host 가 도중 빈값이 되면 fail 미리셋·close 경로 없음 — open 고착 ③import pymysql 이 run() 본문 첫 줄(:275) — vendor 누락 시 probe 스레드 즉사 → 영구 무알람(worker/db_probe 행 참조)"
,감지,알람,A-COM-001,connection_lost,critical,MGMT_SVR_01,OAM-SVC,1,DB,,서비스 DB 연결 끊김(<관리그룹>/db),,,,,구현,"DB SELECT 1 probe(check=db_down). 모듈 관점 DB 알람(<서버명>/<mod>/db, detected_by=self)과 별개 관측"
공통,정의,알람,A-QOS-023,threshold_crossed,warning,,,,,ha/<svc>,keepalived(VIP) 상태 전이 빈도 임계 — VIP flap 의심(전이 개별 건은 이벤트),HA transitions for {svc}: {count} in last 10min (threshold {threshold}),VIP 반복 이동 — 해당 서비스 간헐 단절,헬스체크 포트/모듈 상태·keepalived notify 로그 점검,vIBCF A0063 / X.733,,
,감지,알람,A-QOS-023,threshold_crossed,warning,SIG_SVR_01,AGENT,1,,ha/flap,keepalived 상태 전이 빈도 임계(기본 6회/10분) — VIP flap 의심,,,,,구현,"cims-notify 로그 tail 10분 집계(metric.ha_transitions) → OAM base 평가(check=ha_flap). 한계: tail 32KB(:697)+최근 200줄(:702) 상한 — 초과 시 과소집계, 로그 디렉터리 부재 시 {} 반환(:686-688) → 미보고가 auto-close 경로로 '해소' 위장. 개별 전이 이벤트화는 ha_role_changed 행"
공통,정의,알람,A-COM-015,connection_lost,critical,,,,AGENT,agent,관리 에이전트(노드) 관측 두절 — heartbeat/metric 무수신,Agent on {node} unreachable — node observation lost,노드 관측 불능 — 그 노드의 L1 알람은 판정 불가(두절을 정상 해소로 위장하지 않기 위한 별도 알람 — 파이프라인 §9),노드 전원/네트워크/agent 프로세스 확인,X.733 / 파이프라인 §9,,
,감지,알람,A-COM-015,connection_lost,critical,MGMT_SVR_01,OAM,1,AGENT,,agent 관측 두절(heartbeat 미수신) — 해당 노드 전체 관측 공백,,,,,구현,"A-COM-015(check=agent_lost, mo=<서버명>/agent) — 스윕마다 agent 스토어의 비-revoked 노드 중 이번 스윕 관측(online+metric)이 없는 노드에 open, 복귀 시 close. 두절 노드의 열린 agent 알람은 '판정 불가' 메시지로 종결(파이프라인 §9 — 정상 해소 위장 방지). agent 스토어 공백(절체 직후 standby)이면 무판정. 잔여: stale metric(hb 정상·metric 갱신 정지)은 jsonl_last 가 옛 metric 을 반환해 미검출 — observability_lost(metric) 후보와 분담"
공통,정의,알람,A-PRC-021,listener_unavailable,minor,,,,,monitor,운영 조회(monitor) 접속점 개설 실패 — 모듈 공통 운영 인터페이스(상태/세션 조회) 영구 불가,Monitor listener unavailable: {port} ({error}),운영 조회·진단 불가(서비스 영향 없음),포트 점유/설정 확인,X.733,,
,감지,알람,A-PRC-021,listener_unavailable,minor,SIG_SVR_01,CSP,1,,monitor,Monitor(운영 조회) TCP 포트 개설 실패 — MC_CALL_MAP_LIST 등 운영 조회 영구 불가,,,,,후보(선행 필요),"open 실패 지점이 ext/psip(ServerThread.cpp:18-26 — 실패해도 무효 소켓으로 poll 지속), StartMonitorServerThread 는 스레드 생성 성공만 반환(:67-84), 호출 CspServer.cpp:466-469. OAM STATS probe(4421)와 별개 경로라 L3 미검출. 코드가 csp/ 밖(ext)이라 우선순위 낮음"
공통,정의,알람,A-PRC-022,storage_failure,major,,,,DB,db/query,DB 쿼리 지속 실패(권한/스키마/락 — 연결 probe 는 정상),"DB queries failing ({error}, {count} consecutive) — connection alive",연결 알람 없이 DB 의존 기능 실질 실패(A-COM-001 상보),권한/스키마/락 원인 확인,X.733,,
,감지,알람,A-PRC-022,storage_failure,major,SIG_SVR_01,CSP,1,DB,db/query,DB 쿼리 지속 실패(권한/스키마/락) — 연결은 정상,,,,,후보,ExecuteQuery/ExecuteSelect 단일 지점의 연속 실패율 임계 전이(DbManager.cpp:196-211). mysql_ping probe 로는 검출 불가한 구간 — COM-001 과 상보
,감지,알람,A-PRC-022,storage_failure,major,SUB_SVR_01,CSC,1,DB,db/query,DB 쿼리 지속 실패(권한/스키마/락) — 연결 probe 는 정상,,,,,후보,"probe(ping)가 못 잡는 구간 — COM-001 상보. _get_db 2곳(admin.py:32, org.py:23) 단일화 + 연속 실패 카운터"
공통,정의,알람,A-QOS-028,threshold_crossed,minor,,,,,host/iface/<name>,NIC 오류 카운터(rx/tx errors) 증가율 임계,NIC {iface} error rate is {observed}/s (threshold {threshold}),전송 품질 저하 진행(케이블/드라이버/스위치 이상),링크/드라이버/스위치 포트 점검 — 인터페이스마다 개별 발화,X.733,,
,감지,알람,A-QOS-028,threshold_crossed,minor,SIG_SVR_01,AGENT,1,,iface/<name>,NIC 오류 카운터(rx_errors/tx_errors) 증가율 임계,,,,,후보,"/proc/net/dev 수집·per_iface[] 저장 완비(cims_agent.py:561-563, whitelist agent_api.py:840) — 누적 카운터라 delta 로 rate 화 + rule 추가. rx_rate/tx_rate(Bps, :566-574)도 동일 경로 — 미디어 노드 무트래픽/폭주 판정"
공통,정의,알람,A-QOS-029,threshold_crossed,minor~major(단계),,,,,proc/<module>,모듈 프로세스 자원(CPU/RSS) 단계 임계 — 호스트 축(A-QOS-001)과 별개,"Process {module} resource usage: {metric} {observed} (MAJ:{maj}, MIN:{min})",해당 모듈 처리 지연·OOM kill 전조,원인(누수/부하) 확인 — 모듈마다 개별 발화,X.733,,
,감지,알람,A-QOS-029,threshold_crossed,minor~major,SIG_SVR_01,AGENT,1,MODULE,proc,모듈 단위 CPU/RSS 임계(modules[].cpu_pct·mem_mb),,,,,후보,/proc/<pid>/stat·statm 수집·저장 완비(cims_agent.py:792-796) — rule 추가만(mo=<host>/<module>). host 축(cpu|mem 행)과 별개 — csc OOM 실측의 직접 선행 지표
공통,정의,이벤트,E-STC-001,lifecycle,-,,,,,,event=process_started. 기능 프로세스 기동 완료,Process {module} started on {node} (version {version}),,,X.731,,
,감지,이벤트,E-STC-001,process_started,-,SIG_SVR_01,CSP,1,,,CSP 기동 완료,,,,,구현,"kind=stateChange. 기동 완료 시 1회 발신, 미등록 구간 32건 버퍼 후 flush (CspServer.cpp:364)"
,감지,이벤트,E-STC-001,process_started,-,MED_SVR_01,CMP,1,,,CMP 기동 완료,,,,,구현,kind=stateChange. 기동 완료 시 발신(PCmpServer.cpp:150)
,감지,이벤트,E-STC-001,process_started,-,MED_SVR_01,CMDP,1,,,CMDP 기동 완료,,,,,구현,kind=stateChange (PCmdpServer.cpp:146)
,감지,이벤트,E-STC-001,process_started,-,SUB_SVR_01,CSC,1,,,CSC 기동 완료,,,,,구현,kind=stateChange (csc_app.py 기동 완료 시)
공통,정의,이벤트,E-STC-002,lifecycle,-,,,,,,event=process_stopping. graceful 종료 시작,Process {module} stopping (graceful shutdown initiated),,,X.731,,
,감지,이벤트,E-STC-002,process_stopping,-,SIG_SVR_01,CSP,1,,,CSP 종료 시작(graceful),,,,,구현,kind=stateChange. SIGTERM graceful 종료 진입 시 발신 (CspServer.cpp:515)
,감지,이벤트,E-STC-002,process_stopping,-,MED_SVR_01,CMP,1,,,CMP 종료 시작(graceful),,,,,구현,kind=stateChange. SIGTERM 처리(PCmpServer.cpp:195). SIGINT/SIGQUIT 미처리 — 유실. SIGTERM 등록이 startServer 이후(PMain.cpp:32→:39)라 기동 중 도착분도 유실
,감지,이벤트,E-STC-002,process_stopping,-,MED_SVR_01,CMDP,1,,,CMDP 종료 시작(graceful),,,,,구현,kind=stateChange. SIGTERM 처리(PCmdpServer.cpp:152). SIGTERM 만 등록(PMain.cpp:37)이고 등록이 startServer 이후(:31→:37)라 SIGINT/SIGQUIT 및 기동 중 SIGTERM 은 유실
,감지,이벤트,E-STC-002,process_stopping,-,SUB_SVR_01,CSC,1,,,CSC 종료 시작(graceful),,,,,구현,"kind=stateChange. SIGTERM 처리(csc_app.py:325 — SIGTERM 만 등록, SIGINT/SIGQUIT 종료는 유실)"
공통,정의,이벤트,E-STC-009,lifecycle,-,,,,,,event=process_died. 프로세스 소멸 전이 관측 — SIGKILL 등 자기보고(process_stopping) 유실 종료의 보완(L1 관측),Process {module} died on {node} (termination observed),,,X.731,,
,감지,이벤트,E-STC-009,process_died,-,SIG_SVR_01,AGENT,1,MODULE,,모듈 프로세스 소멸 전이 관측(SIGKILL 등 자기보고 유실 보완),,,,,구현,kind=stateChange. metric 동반 module_events → OAM event_log 기록(agent_api.py:862). 한계: _PREV_RUNNING_MODULES 가 in-memory(cims_agent.py:746) — agent 재기동 후 첫 tick 전이 미탐 + metric 주기(2s) 내 죽었다 살면 유실
공통,정의,이벤트,E-STC-008,config_changed,-,,,,,,"event=config_reloaded. 설정 재적재 완료(반영 범위, 건수) — 시스템 반영(actor 없음, kind=stateChange)",Configuration reloaded: {scope} ({count} entries applied),,,X.730,,
,감지,이벤트,E-STC-008,config_reloaded,-,SIG_SVR_01,CSP,1,,,"설정 재적재 완료(collection, 반영 건수)",,,,,후보,kind=stateChange. SIGUSR1 reload 완료 시점(CspServer.cpp:442-465). wire 규격은 alarm_self_reporting §3.1 예시로 이미 정의. 동반 결함: 무인자 Read() 의 scalar 재적재는 항상 무동작(설명서 CSP 절 결함 1)
,감지,이벤트,E-STC-008,config_reloaded,-,SUB_SVR_01,CSC,1,,,설정 재적재 완료(SIGUSR1),,,,,후보,kind=stateChange. csc_app.py:127-142 — 재적재 실패 연속은 알람으로 분리
공통,정의,이벤트,E-STC-003,ha_transition,-,,,,,,"event=ha_role_changed. HA 역할 전이(active↔standby, from/to)",HA role changed: {from} -> {to} (service {svc}),,,vIBCF S3003,,
,감지,이벤트,E-STC-003,ha_role_changed,-,SIG_SVR_01,CSP,1,,,HA 역할 전이(active↔standby),,,,,후보,"kind=stateChange. VIP 소유 변화로 3s 주기 판정하는 전이 훅 기성(m_bLastActiveRole — CmpClient.cpp:940-957, 매 audit cycle ResolveActiveRole :1002)"
,감지,이벤트,E-STC-003,ha_role_changed,-,SIG_SVR_01,AGENT,1,,,"HA 역할 전이(svc, from, to)",,,,,후보,"kind=stateChange. 훅 지점은 _EVAL_PREV_ROLE 대입 직후(cims_agent.py:3169-3170)에 전 방향 비교 신설 — 기존 _update_promotion_grace(:3167-3189)는 승격 엣지만 처리(강등·BACKUP↔FAULT 훅 없음, in-memory 라 재기동 시 초기화). 관측 정본은 _current_role(:3043-3067 — role 파일+VIP 실보유, notify 유실 내성). module_events 의 node_events 일반화 선행. 절체 사후분석 기본 이력"
공통,정의,이벤트,E-STC-004,ha_transition,-,,,,,,"event=ha_switchover. 절체 사건(group, from, to) + 계획 절체 실패",HA switchover on group {group}: {from} -> {to} ({result}),,,vIBCF S3001~3,,
,감지,이벤트,E-STC-004,ha_switchover,-,MGMT_SVR_01,OAM,1,,,"HA 절체 감지(group, from, to) + 계획 절체 실패(FAILED)",,,,,후보,"kind=stateChange. auto-sync 실측 active 변경 감지가 log_info 만(oam_app.py:1445-1450) — 개별 절체 사건이 이벤트 스트림에 없음(빈도 임계 ha_flap 알람만 존재). 계획 절체 실패도 record+log_info 뿐(sweep_ha_operations handlers/ha_groups.py:2175-2202 — state=FAILED) — 함께 기록, FAILED 지속은 알람 후보"
공통,정의,이벤트,E-AUD-002,admin_action,-,,,,,,event=node_maintenance. 운영 개입 전이(수동 차단/정지/해제·HA 판정 얼림),Node maintenance {action} on {node} by {actor},,,vIBCF A0023,,
,감지,이벤트,E-AUD-002,node_maintenance,-,SIG_SVR_01,AGENT,1,,,"운영 개입 상태 전이(maintenance 설정/해제, 서버별 정지 오버라이드, HA 판정 얼림)",,,,,후보,kind=audit. EXCLUDE_NODE/maintenance 파일(:3132-3137)·run/ha/desired.json 오버라이드(:3822-3863)·CIMS_HA_DISABLE 마커(:2612-2623) — 전부 노드 로컬 파일이 유일 정본이라 '잊힌 정지'가 OAM 에 안 보임. 설정/해제 시점 이벤트 + 잔존 지속은 redundancy_degraded(ha/eligible) 행
공통,정의,이벤트,E-AUD-003,admin_action,-,,,,,,"event=service_control. 기동/정지/재기동 제어 감사(actor, ip)",Service {module} {action} by {actor} from {ip},,,X.740,,
,감지,이벤트,E-AUD-003,service_control,-,MGMT_SVR_01,OAM,1,,,"서비스 제어 감사(actor, ip, service, action)",,,,,구현,kind=audit. 콘솔/API start·stop·restart 시 기록(service_control.py:49)
공통,정의,이벤트,E-AUD-004,security_audit,-,,,,,,"event=auth_audit. 관리 접근 감사(로그인 실패, 권한 거부)",Auth audit: {action} for user {user} from {ip} ({result}),,,X.740,,
,감지,이벤트,E-AUD-004,auth_audit,-,MGMT_SVR_01,OAM,1,,,"인증 감사(로그인 실패, 역할 거부, HA join 토큰 오사용)",,,,,후보,"kind=audit. 현재 전부 4xx 응답뿐 — 실패 카운터/lockout/이벤트 전무(auth.py:179-206, oam_join.py:172-183). service_control 의 actor/actor_ip 템플릿 재사용. 동일 IP/계정 반복 실패 임계는 알람 후보"
CSCF,정의,알람,A-COM-002,connection_lost,critical,,,,CSC,csc,가입자 원천(CSC — HSS 역할/가입자 DB) 연결 두절,"Subscriber source (CSC) connection lost (host={host}, port={port})",신규 등록·인증·프로파일 조회 전면 실패,원천 연결성/서버 상태 확인·폴백 모드 여부 확인,TS 24.229(HSS 상당) / vIBCF A0061,,
CSCF,정의,알람,A-PRC-011,storage_failure,major,,,,DB,db/reload,가입자/프로파일 재적재 실패 지속(연결은 정상),Subscriber/profile reload from DB failing ({error}; last success {last_ok}),stale 데이터로 서비스 — 프로비저닝 미반영,쿼리 실패 원인(권한/스키마) 확인·수동 재동기,TS 24.229(HSS 상당),,
,감지,알람,A-PRC-011,storage_failure,minor,SIG_SVR_01,CSP,1,DB,db/reload,가입자/그룹 전량 재적재 실패 — 프로비저닝 반영 정지(맵 stale),,,,,후보,그룹만 60s 주기 재적재(CspServer.cpp:499-505 + GroupCallService.cpp:1090-1098 — 같은 60s 에 2곳 중복 실행) 연속 실패 전이. 가입자 LoadAllUsers 는 주기 호출자 없음 — 기동 1회(CspServer.cpp:337)와 CSC_RESTART(CscInterface.cpp:281)뿐이라 가입자 축은 주기 재적재 신설 선행. 호출자 전부 반환값 무시
,감지,알람,A-PRC-011,storage_failure,major,SUB_SVR_01,CSC,1,DB,db/reload,가입자/그룹 전량 적재 실패 — 빈 캐시로 서비스(더미 데이터가 장애 은폐 중),,,,,후보(선행 필요),"DB 실패→파일 폴백→빈 맵 silent(mcptt.py:263-264, :369-370) + 더미 가입자/그룹 주입이 장애 위장(csc_app.py:242-249 — Data 게이트 밖이라 설정 미적용 시에도 실행되어 두 장애 동시 위장, 제거 필요). 주기 재적재가 없어 close 전이 불가 — 주기 태스크 신설 선행. 근거 확대: 장애 없어도 캐시 stale 상시 — admin CUD 가 USERS/GROUPS 메모리 미갱신(admin.py:890-971 등)·GMS PUT 이 DB 미반영(mcptt.py:1509-1526 — 재기동 시 소실) → 주기 재적재가 장애 대응 겸 정합 수단"
CSCF,정의,알람,A-PRC-012,listener_unavailable,major,,,,,listener/<proto:port>,SIP 접속점(UDP/TCP/TLS) 개설 실패·TLS 인증서 로드 실패 — 접속점 단위 격리 발화(다른 접속점은 서비스 지속),SIP listener unavailable: {proto}:{port} ({error}),해당 접속점 수용 불가(일부 단말/대국 접속 단절),포트 점유/인증서/설정 확인 — 접속점마다 개별 발화,TS 24.229,,
,감지,알람,A-PRC-012,listener_unavailable,major,SIG_SVR_01,CSP,1,,listener/<proto:port>,"SIP 리스너 개설 실패(proto, port) — TLS 인증서 로드 실패 포함. 해당 접속점만 서비스 불가",,,,,구현,리스너 Sync add 실패 전이(CspListenerManager.cpp). 리스너마다 개별 발화·설정 reload 마다 재평가되어 open/close 자연. remove 실패(:170-172)는 스택 잔존+관리목록 제거로 유령 리스너 발생 — 같은 클래스에 params op=remove 로 흡수(폐쇄 대상 접속점 잔존이라 보안 영향이 add 실패보다 큼)
CSCF,정의,알람,A-COM-003,connection_lost,major,,,,PEER,peer/<node>,인접 노드(타 CSCF/트렁크/게이트웨이) keepalive(OPTIONS) 무응답,Peer {peer} unreachable: OPTIONS keepalive timeout ({fails} consecutive),해당 경로 호 소통 불가 — 죽은 경로로 라우팅 지속 위험,대국 상태/네트워크 확인·라우팅 우회 확인,vIBCF A0061·F400E·타입80,,
,감지,알람,A-COM-003,connection_lost,major,SIG_SVR_01,CSP,1,PEER_01,peer/<remote_node>,트렁크/IBCF peer 두절(remote_node) — 해당 경로 호 소통 불가,,,,,후보(선행 필요),"감지 코드 없음 — MarkAlive/MarkFail 호출자 0건, RouteRuntime.alive 항상 true(CspRouteMap.cpp:148/164, 기본값 CspRouteMap.h:45). OPTIONS keepalive 프로버 신설 선행"
CSCF,정의,알람,A-COM-004,connection_lost,major,,,,DNS,dns,DNS/ENUM 해석 기능 상실 — 리졸버 무응답·해석 실패 지속(원인 불문),"DNS/ENUM resolution failing (server={server}, {fails} consecutive)",도메인 기반 라우팅·번호 변환 불가,리졸버/DNS 서버 상태 확인,TS 24.229,,
CSCF,정의,알람,A-QOS-006,threshold_crossed,minor~critical(단계),,,,,calls/success_rate,호 성공률 하한 단계 임계 — 최종 응답 코드별 카운터 기반(로컬 타임아웃 합성 응답 포함 필수),"Call success rate is {observed}% (CRI:{crit}, MAJ:{maj}, MIN:{min})",다수 호 실패 진행 중 — 원인 불문 서비스 품질 저하,실패 응답 코드 분포·flow 로그로 원인 축 식별,vIBCF A0075~77,,
,감지,알람,A-QOS-006,threshold_crossed,minor~critical(단계),SIG_SVR_01,CSP,1,,calls/success_rate,"Call success rate is {observed}% (CRI:{crit}, MAJ:{maj}, MIN:{min})",,,,,구현,"스택 카운터(CSipStackCounter — INVITE 최종응답 수신+송신 합산, 와이어에 없는 로컬 합성 408 Timer B/Ring timeout·660 connect error 포함: RecvResponse 팬아웃 계측)를 SipStatsMonitor 가 EvalSec(기본 60s) 윈도우 차분 평가. 유효=2xx/3xx+486/487/603(사용자 행위), 챌린지 401/407 분모 제외(NER 계열·E.425 준용). 분모<MinFinals(기본 20)면 무판정. 임계 Setup.SipStats.CallRate*(기본 90/70/50, SIGUSR1 반영). 단계 승격/완화=severity 동반 open 재통지 → OAM action=change"
CSCF,정의,알람,A-QOS-007,threshold_crossed,minor~critical(단계),,,,,reg/success_rate,등록 성공률 하한/등록 실패 급증,"Registration success rate is {observed}% (CRI:{crit}, MAJ:{maj}, MIN:{min})",단말 대량 이탈·착신 불가 확산,인증 실패/원천 장애/네트워크 축 구분,vIBCF A0075 준용(REGISTER 축),,
,감지,알람,A-QOS-007,threshold_crossed,minor~critical(단계),SIG_SVR_01,CSP,1,,reg/success_rate,"Registration success rate is {observed}% (CRI:{crit}, MAJ:{maj}, MIN:{min})",,,,,구현,"REGISTER 최종응답(수신+송신) 유효율 — 유효=2xx, 챌린지/협상 401/407/423 분모 제외. 산식/윈도우/설정 관례는 A-QOS-006 과 동일(Setup.SipStats.RegRate*)"
CSCF,정의,알람,A-QOS-008,threshold_crossed,minor~critical(단계),,,,,sessions,동시 세션 사용률 단계 임계(수용 상한 대비),"Concurrent session usage is {observed}% of limit {max} (CRI:{crit}, MAJ:{maj}, MIN:{min})",상한 도달 시 신규 호 전면 거절,유입 조절·용량 증설·상한 재산정,vIBCF A0059,,
CSCF,정의,알람,A-QOS-009,threshold_crossed,minor~critical(단계),,,,,cps,신호 유입 rate(CPS) 단계 임계,"Signaling inflow is {observed} CPS (CRI:{crit}, MAJ:{maj}, MIN:{min})",처리 지연·과부하 진입 전조,유입원 확인·과부하 제어 준비,vIBCF A0058,,
